x,y,z,alpha.water
0.125,0,-0.125,1.00001
0.125,-5.10597e-19,-0.120834,1.00001
0.125,-1.02119e-18,-0.116667,1.00001
0.125,0,-0.116667,1.00001
0.125,2.43579e-19,-0.1125,1.00001
0.125,4.87158e-19,-0.108333,1.00001
0.125,4.87156e-19,-0.104167,1.00001
0.125,4.87153e-19,-0.1,1.00001
0.125,4.87153e-19,-0.0958334,1.00001
0.125,4.87153e-19,-0.0916667,1.00001
0.125,4.87155e-19,-0.0875,1.00001
0.125,4.87156e-19,-0.0833333,1.00001
0.125,4.87158e-19,-0.08125,1.00001
0.125,4.8716e-19,-0.0791667,1.00001
0.125,4.87161e-19,-0.0781251,1.00001
0.125,4.87161e-19,-0.0770835,1.00001
0.125,4.87161e-19,-0.0760418,1.00001
0.125,4.87161e-19,-0.075,1.00001
0.125,4.87162e-19,-0.0739584,1.00001
0.125,4.87164e-19,-0.0729167,1.00001
0.125,4.87161e-19,-0.071875,1.00001
0.125,4.87158e-19,-0.0708333,1.00001
0.125,4.87159e-19,-0.0697917,1.00001
0.125,4.87159e-19,-0.0687501,1.00001
0.125,4.87159e-19,-0.0677084,1.00001
0.125,4.87159e-19,-0.0666667,1.00001
0.125,4.87158e-19,-0.065625,1.00001
0.125,4.87158e-19,-0.0645834,1.00001
0.125,4.87158e-19,-0.0635417,1.00001
0.125,4.87158e-19,-0.0625,1.00001
0.125,4.87158e-19,-0.0614583,1.00001
0.125,4.87157e-19,-0.0604167,1.00001
0.125,4.87157e-19,-0.059375,1.00001
0.125,4.87157e-19,-0.0583333,1.00001
0.125,4.87157e-19,-0.0572916,1.00001
0.125,4.87158e-19,-0.05625,1.00001
0.125,4.87157e-19,-0.0552083,1.00001
0.125,4.87157e-19,-0.0541667,1.00001
0.125,4.87157e-19,-0.053125,1.00001
0.125,4.87158e-19,-0.0520834,1.00001
0.125,4.87158e-19,-0.0510417,1.00001
0.125,4.87157e-19,-0.05,1.00001
0.125,4.87158e-19,-0.0489583,1.00001
0.125,4.87158e-19,-0.0479167,1.00001
0.125,4.87158e-19,-0.046875,1.00001
0.125,4.87158e-19,-0.0458333,1.00001
0.125,4.87158e-19,-0.0447917,1.00001
0.125,4.87158e-19,-0.04375,1.00001
0.125,4.87158e-19,-0.0427084,1.00001
0.125,4.87158e-19,-0.0416667,1.00001
0.125,4.87158e-19,-0.0406251,1.00001
0.125,4.87158e-19,-0.0395834,1.00001
0.125,4.87158e-19,-0.0385417,1.00001
0.125,4.87159e-19,-0.0375,1.00001
0.125,4.87158e-19,-0.0364584,1.00001
0.125,4.87158e-19,-0.0354167,1.00001
0.125,4.87158e-19,-0.034375,1.00001
0.125,4.87158e-19,-0.0333333,1.00001
0.125,0,-0.0333333,1.00001
0.125,-2.53456e-19,-0.0322916,1.00001
0.125,-5.06912e-19,-0.03125,1.00001
0.125,-5.06912e-19,-0.0302083,1.00001
0.125,-5.06912e-19,-0.0291667,1.00001
0.125,-5.06912e-19,-0.028125,1.00001
0.125,-5.06912e-19,-0.0270833,1.00001
0.125,-5.06912e-19,-0.0260417,1.00001
0.125,-5.06912e-19,-0.025,1.00001
0.125,-5.06912e-19,-0.0239583,1.00001
0.125,-5.06912e-19,-0.0229167,1.00001
0.125,-5.06912e-19,-0.021875,1.00001
0.125,-5.06912e-19,-0.0208333,1.00001
0.125,-5.06912e-19,-0.0197917,1.00001
0.125,-5.06912e-19,-0.01875,1.00001
0.125,-5.06912e-19,-0.0177083,1.00001
0.125,-5.06912e-19,-0.0166667,1.00001
0.125,-5.06912e-19,-0.0156251,1.00001
0.125,-5.06912e-19,-0.0145834,1.00001
0.125,-5.06912e-19,-0.0135417,1.00001
0.125,-5.06912e-19,-0.0125,1.00001
0.125,-5.06912e-19,-0.0114584,1.00001
0.125,-5.06912e-19,-0.0104167,1.00001
0.125,-5.06912e-19,-0.00937502,1.00001
0.125,-5.06912e-19,-0.00833333,1
0.125,-5.06912e-19,-0.00729167,1
0.125,-5.06912e-19,-0.00625,1
0.125,-5.06912e-19,-0.00520834,1
0.125,-5.06912e-19,-0.00416667,1
0.125,-5.06912e-19,-0.003125,1
0.125,-5.06912e-19,-0.00208333,1
0.125,-5.06912e-19,-0.00104166,1
0.125,-5.06912e-19,5.07523e-11,1
0.125,-5.06912e-19,0.00104167,1
0.125,-5.06912e-19,0.00208334,1
0.125,0,0.00208334,0.999997
0.125,-3.52865e-19,0.00312501,0.999997
0.125,-7.05729e-19,0.00416667,0.999982
0.125,-7.05729e-19,0.00520833,0.999982
0.125,-7.05729e-19,0.00625,0.999926
0.125,-7.05729e-19,0.00729166,0.999926
0.125,-7.05729e-19,0.00833333,0.99972
0.125,-7.05729e-19,0.00937501,0.99972
0.125,-7.05729e-19,0.0104167,0.998968
0.125,-7.05729e-19,0.0114583,0.998968
0.125,-7.05729e-19,0.0125,0.996634
0.125,-7.05729e-19,0.0135417,0.996634
0.125,-7.05729e-19,0.0145834,0.983701
0.125,-7.05729e-19,0.015625,0.983701
