x,y,z,alpha.water
0.125,-1.65436e-24,-0.125,1.00001
0.125,-1.65436e-24,-0.125,1.00001
0.125,-7.40686e-20,-0.120834,1.00001
0.125,-1.48136e-19,-0.116667,1.00001
0.125,-1.48135e-19,-0.1125,1.00001
0.125,-1.48135e-19,-0.108333,1.00001
0.125,-1.48138e-19,-0.104167,1.00001
0.125,-1.4814e-19,-0.1,1.00001
0.125,-1.48141e-19,-0.0958334,1.00001
0.125,-1.48141e-19,-0.0916667,1.00001
0.125,-1.48139e-19,-0.0875,1.00001
0.125,-1.48137e-19,-0.0833333,1.00001
0.125,-1.48138e-19,-0.08125,1.00001
0.125,-1.48139e-19,-0.0791667,1.00001
0.125,-1.4814e-19,-0.0781251,1.00001
0.125,-1.48141e-19,-0.0770835,1.00001
0.125,-1.48141e-19,-0.0760418,1.00001
0.125,-1.48141e-19,-0.075,1.00001
0.125,-1.48141e-19,-0.0739584,1.00001
0.125,-1.48141e-19,-0.0729168,1.00001
0.125,-1.48142e-19,-0.071875,1.00001
0.125,-1.48144e-19,-0.0708333,1.00001
0.125,-1.48143e-19,-0.0697917,1.00001
0.125,-1.48141e-19,-0.0687501,1.00001
0.125,-1.48142e-19,-0.0677084,1.00001
0.125,-1.48142e-19,-0.0666667,1.00001
0.125,-1.48142e-19,-0.065625,1.00001
0.125,-1.48141e-19,-0.0645834,1.00001
0.125,-1.4814e-19,-0.0635417,1.00001
0.125,-1.4814e-19,-0.0625,1.00001
0.125,-1.48139e-19,-0.0614583,1.00001
0.125,-1.48138e-19,-0.0604167,1.00001
0.125,-1.48138e-19,-0.059375,1.00001
0.125,-1.48138e-19,-0.0583333,1.00001
0.125,-1.48138e-19,-0.0572917,1.00001
0.125,-1.48138e-19,-0.0562501,1.00001
0.125,-1.48138e-19,-0.0552084,1.00001
0.125,-1.48138e-19,-0.0541667,1.00001
0.125,-1.48138e-19,-0.0531251,1.00001
0.125,-1.48137e-19,-0.0520834,1.00001
0.125,-1.48137e-19,-0.0510417,1.00001
0.125,-1.48137e-19,-0.05,1.00001
0.125,-1.48137e-19,-0.0489584,1.00001
0.125,-1.48136e-19,-0.0479167,1.00001
0.125,-1.48136e-19,-0.046875,1.00001
0.125,-1.48136e-19,-0.0458333,1.00001
0.125,-1.48136e-19,-0.0447917,1.00001
0.125,-1.48136e-19,-0.04375,1.00001
0.125,-1.48136e-19,-0.0427084,1.00001
0.125,-1.48136e-19,-0.0416667,1.00001
0.125,-1.48136e-19,-0.040625,1.00001
0.125,-1.48136e-19,-0.0395833,1.00001
0.125,-1.48136e-19,-0.0385417,1.00001
0.125,-1.48136e-19,-0.0375,1.00001
0.125,-1.48136e-19,-0.0364583,1.00001
0.125,-1.48136e-19,-0.0354167,1.00001
0.125,-1.48136e-19,-0.034375,1.00001
0.125,-5.16988e-26,-0.0333333,1.00001
0.125,-1.48137e-19,-0.0333333,1.00001
0.125,2.70379e-20,-0.0322917,1.00001
0.125,5.40758e-20,-0.03125,1.00001
0.125,5.40757e-20,-0.0302084,1.00001
0.125,5.40757e-20,-0.0291667,1.00001
0.125,5.40757e-20,-0.0281251,1.00001
0.125,5.40758e-20,-0.0270834,1.00001
0.125,5.40758e-20,-0.0260417,1.00001
0.125,5.40758e-20,-0.025,1.00001
0.125,5.40757e-20,-0.0239584,1.00001
0.125,5.40757e-20,-0.0229167,1.00001
0.125,5.40757e-20,-0.021875,1.00001
0.125,5.40757e-20,-0.0208333,1.00001
0.125,5.40757e-20,-0.0197917,1.00001
0.125,5.40757e-20,-0.01875,1
0.125,5.40757e-20,-0.0177083,1
0.125,5.40757e-20,-0.0166667,1
0.125,5.40757e-20,-0.015625,1
0.125,5.40757e-20,-0.0145834,1
0.125,5.40757e-20,-0.0135417,1
0.125,5.40757e-20,-0.0125,1
0.125,5.40757e-20,-0.0114584,1
0.125,5.40757e-20,-0.0104167,0.999999
0.125,5.40757e-20,-0.00937502,0.999999
0.125,5.40758e-20,-0.00833333,0.999996
0.125,5.40758e-20,-0.00729165,0.999996
0.125,5.40757e-20,-0.00624997,0.999982
0.125,5.40758e-20,-0.00520832,0.999982
0.125,5.40758e-20,-0.00416667,0.99993
0.125,5.40758e-20,-0.003125,0.99993
0.125,5.40759e-20,-0.00208333,0.999757
0.125,5.40758e-20,-0.00104166,0.999757
0.125,5.40758e-20,3.48085e-11,0.999187
0.125,5.40758e-20,0.00104167,0.999187
0.125,5.40758e-20,0.00208333,0.999187
0.125,-5.16988e-26,0.00208333,0.997331
0.125,7.79055e-20,0.003125,0.997331
