x,y,z,alpha.water
0,0.1,-0.125,1
0,0.1,-0.120833,1
1.01644e-18,0.1,-0.116667,1
0,0.1,-0.116667,1
3.998e-19,0.1,-0.1125,1
-2.1684e-19,0.1,-0.108333,1
-2.28699e-19,0.1,-0.104166,1
-2.40557e-19,0.1,-0.1,1
-7.708e-19,0.1,-0.0958333,1
-1.30104e-18,0.1,-0.0916667,1
-1.13841e-18,0.1,-0.0875,1
-9.75782e-19,0.1,-0.0833333,1
-1.13841e-18,0.1,-0.08125,1
-1.30104e-18,0.1,-0.0791667,1
-1.35525e-18,0.1,-0.078125,1
-1.40946e-18,0.1,-0.0770834,1
-1.73472e-18,0.1,-0.0760417,1
-2.05998e-18,0.1,-0.075,1
-1.84314e-18,0.1,-0.0739583,1
-1.6263e-18,0.1,-0.0729167,1
-1.57209e-18,0.1,-0.071875,1
-1.51788e-18,0.1,-0.0708333,1
-1.57209e-18,0.1,-0.0697917,1
-1.6263e-18,0.1,-0.0687501,1
-1.35525e-18,0.1,-0.0677084,1
-1.0842e-18,0.1,-0.0666667,1
-1.19262e-18,0.1,-0.065625,1
-1.30104e-18,0.1,-0.0645834,1.00001
-1.40946e-18,0.1,-0.0635417,1.00001
-1.51788e-18,0.1,-0.0625,1
-1.57209e-18,0.1,-0.0614584,1
-1.6263e-18,0.1,-0.0604167,1.00001
-1.68051e-18,0.1,-0.059375,1.00001
-1.73472e-18,0.1,-0.0583333,1
-1.68051e-18,0.1,-0.0572917,1
-1.6263e-18,0.1,-0.05625,1.00001
-1.73472e-18,0.1,-0.0552084,1.00001
-1.84314e-18,0.1,-0.0541667,1
-1.68051e-18,0.1,-0.053125,1
-1.51788e-18,0.1,-0.0520833,1.00001
-1.68051e-18,0.1,-0.0510417,1.00001
-1.84314e-18,0.1,-0.05,1
-1.73472e-18,0.1,-0.0489583,1
-1.6263e-18,0.1,-0.0479167,1
-1.8334e-18,0.1,-0.046875,1
-2.0405e-18,0.1,-0.0458333,1
-2.05024e-18,0.1,-0.0447916,1
-2.05998e-18,0.1,-0.04375,1
-2.05998e-18,0.1,-0.0427083,1
-2.05998e-18,0.1,-0.0416667,1
-2.11419e-18,0.1,-0.040625,1
-2.1684e-18,0.1,-0.0395833,1
-2.1684e-18,0.1,-0.0385417,1
-2.1684e-18,0.1,-0.0375,1
-2.22261e-18,0.1,-0.0364584,1
-2.27682e-18,0.1,-0.0354167,1
-2.22261e-18,0.1,-0.034375,1
-2.1684e-18,0.1,-0.0333333,1
-2.11419e-18,0.1,-0.0322916,1
-2.05998e-18,0.1,-0.03125,1
-2.05998e-18,0.1,-0.0302084,1
-2.05998e-18,0.1,-0.0291667,1
-2.00577e-18,0.1,-0.028125,1
-1.95156e-18,0.1,-0.0270834,1
-2.05998e-18,0.1,-0.0260417,1
-2.1684e-18,0.1,-0.025,0.999999
-2.22261e-18,0.1,-0.0239583,0.999999
-2.27682e-18,0.1,-0.0229167,0.999999
-2.19572e-18,0.1,-0.021875,0.999999
