x,y,z,alpha.water
0.125,0,-0.125,1
0.125,-8.69748e-19,-0.120834,1
0.125,-1.7395e-18,-0.116667,1
0.125,0,-0.116667,1.00001
0.125,-8.14846e-19,-0.1125,1.00001
0.125,-1.62969e-18,-0.108333,1.00001
0.125,-1.62969e-18,-0.104167,1.00001
0.125,-1.62968e-18,-0.1,1.00001
0.125,-1.62969e-18,-0.0958334,1.00001
0.125,-1.62969e-18,-0.0916667,1.00001
0.125,-1.62969e-18,-0.0875,1.00001
0.125,-1.62968e-18,-0.0833333,1.00001
0.125,-1.62969e-18,-0.08125,1.00001
0.125,-1.62969e-18,-0.0791667,1.00001
0.125,-1.62969e-18,-0.0781251,1.00001
0.125,-1.62969e-18,-0.0770835,1.00001
0.125,-1.62969e-18,-0.0760418,1.00001
0.125,-1.62969e-18,-0.075,1.00001
0.125,-1.62968e-18,-0.0739584,1.00001
0.125,-1.62968e-18,-0.0729168,1.00001
0.125,-1.62968e-18,-0.071875,1.00001
0.125,-1.62968e-18,-0.0708333,1.00001
0.125,-1.62968e-18,-0.0697917,1.00001
0.125,-1.62968e-18,-0.0687501,1.00001
0.125,-1.62968e-18,-0.0677084,1.00001
0.125,-1.62968e-18,-0.0666667,1.00001
0.125,-1.62968e-18,-0.0656251,1.00001
0.125,-1.62968e-18,-0.0645834,1.00001
0.125,-1.62968e-18,-0.0635417,1.00001
0.125,-1.62968e-18,-0.0625,1.00001
0.125,-1.62968e-18,-0.0614584,1.00001
0.125,-1.62968e-18,-0.0604167,1.00001
0.125,-1.62968e-18,-0.059375,1.00001
0.125,-1.62968e-18,-0.0583333,1.00001
0.125,-1.62968e-18,-0.0572917,1.00001
0.125,-1.62968e-18,-0.05625,1.00001
0.125,-1.62968e-18,-0.0552084,1.00001
0.125,-1.62968e-18,-0.0541667,1.00001
0.125,-1.62968e-18,-0.0531251,1.00001
0.125,-1.62968e-18,-0.0520834,1.00001
0.125,-1.62968e-18,-0.0510417,1.00001
0.125,-1.62968e-18,-0.05,1.00001
0.125,-1.62968e-18,-0.0489584,1.00001
0.125,-1.62968e-18,-0.0479167,1.00001
0.125,-1.62968e-18,-0.046875,1.00001
0.125,-1.62968e-18,-0.0458333,1.00001
0.125,-1.62968e-18,-0.0447917,1.00001
0.125,-1.62968e-18,-0.04375,1.00001
0.125,-1.62968e-18,-0.0427084,1.00001
0.125,-1.62968e-18,-0.0416667,1.00001
0.125,-1.62968e-18,-0.0406251,1.00001
0.125,-1.62968e-18,-0.0395834,1.00001
0.125,-1.62968e-18,-0.0385417,1.00001
0.125,-1.62968e-18,-0.0375,1.00001
0.125,-1.62968e-18,-0.0364584,1.00001
0.125,-1.62968e-18,-0.0354167,1.00001
0.125,-1.62968e-18,-0.034375,1.00001
0.125,-1.62968e-18,-0.0333333,1.00001
0.125,5.16988e-26,-0.0333333,1.00001
0.125,1.22482e-19,-0.0322916,1.00001
0.125,2.44964e-19,-0.03125,1.00001
0.125,2.44964e-19,-0.0302083,1.00001
0.125,2.44964e-19,-0.0291667,1.00001
0.125,2.44964e-19,-0.028125,1.00001
0.125,2.44964e-19,-0.0270833,1.00001
0.125,2.44964e-19,-0.0260417,1.00001
0.125,2.44964e-19,-0.025,1
0.125,2.44964e-19,-0.0239583,1
0.125,2.44964e-19,-0.0229167,1
0.125,2.44964e-19,-0.021875,1
0.125,2.44964e-19,-0.0208333,1
0.125,2.44964e-19,-0.0197916,1
0.125,2.44964e-19,-0.01875,1
0.125,2.44964e-19,-0.0177083,1
0.125,2.44964e-19,-0.0166667,1
0.125,2.44964e-19,-0.015625,1
0.125,2.44964e-19,-0.0145834,0.999996
0.125,2.44964e-19,-0.0135417,0.999996
0.125,2.44964e-19,-0.0125,0.999984
0.125,2.44964e-19,-0.0114583,0.999984
0.125,2.44964e-19,-0.0104167,0.999938
0.125,2.44964e-19,-0.00937502,0.999938
0.125,2.44964e-19,-0.00833333,0.999785
0.125,2.44964e-19,-0.00729167,0.999785
0.125,2.44964e-19,-0.00625,0.999283
0.125,2.44964e-19,-0.00520834,0.999283
0.125,2.44964e-19,-0.00416667,0.997661
0.125,2.44964e-19,-0.003125,0.997661
0.125,2.44964e-19,-0.00208333,0.993075
0.125,2.44964e-19,-0.00104166,0.993075
0.125,2.44964e-19,4.66381e-11,0.966991
0.125,2.44964e-19,0.00104167,0.966991
0.125,2.44963e-19,0.00208334,0.966991
0.125,2.58494e-26,0.00208334,0.709611
0.125,-8.0289e-20,0.00312501,0.709611
0.125,-1.60578e-19,0.00416667,0.207803
0.125,-1.60578e-19,0.00520834,0.207803
