x,y,z,alpha.water
0.125,0,-0.125,1.00001
0.125,-2.97117e-19,-0.120833,1.00001
0.125,3.30872e-24,-0.116667,1.00001
0.125,-5.94233e-19,-0.116667,1.00001
0.125,-4.64832e-19,-0.1125,1.00001
0.125,-9.29668e-19,-0.108333,1.00001
0.125,-9.29664e-19,-0.104167,1.00001
0.125,-9.2966e-19,-0.1,1.00001
0.125,-9.29666e-19,-0.0958334,1.00001
0.125,-9.29672e-19,-0.0916667,1.00001
0.125,-9.29669e-19,-0.0875,1.00001
0.125,-9.29667e-19,-0.0833333,1.00001
0.125,-9.29668e-19,-0.08125,1.00001
0.125,-9.2967e-19,-0.0791667,1.00001
0.125,-9.29669e-19,-0.0781251,1.00001
0.125,-9.29669e-19,-0.0770835,1.00001
0.125,-9.29668e-19,-0.0760418,1.00001
0.125,-9.29667e-19,-0.075,1.00001
0.125,-9.29666e-19,-0.0739584,1.00001
0.125,-9.29665e-19,-0.0729167,1.00001
0.125,-9.29667e-19,-0.071875,1.00001
0.125,-9.2967e-19,-0.0708333,1.00001
0.125,-9.29668e-19,-0.0697917,1.00001
0.125,-9.29666e-19,-0.0687501,1.00001
0.125,-9.29667e-19,-0.0677084,1.00001
0.125,-9.29668e-19,-0.0666667,1.00001
0.125,-9.29666e-19,-0.0656251,1.00001
0.125,-9.29665e-19,-0.0645834,1.00001
0.125,-9.29664e-19,-0.0635417,1.00001
0.125,-9.29664e-19,-0.0625,1.00001
0.125,-9.29664e-19,-0.0614584,1.00001
0.125,-9.29664e-19,-0.0604167,1.00001
0.125,-9.29663e-19,-0.059375,1.00001
0.125,-9.29663e-19,-0.0583333,1.00001
0.125,-9.29663e-19,-0.0572917,1.00001
0.125,-9.29663e-19,-0.05625,1.00001
0.125,-9.29663e-19,-0.0552084,1.00001
0.125,-9.29663e-19,-0.0541667,1.00001
0.125,-9.29663e-19,-0.0531251,1.00001
0.125,-9.29663e-19,-0.0520834,1.00001
0.125,-9.29663e-19,-0.0510417,1.00001
0.125,-9.29663e-19,-0.05,1.00001
0.125,-9.29662e-19,-0.0489583,1.00001
0.125,-9.29662e-19,-0.0479166,1.00001
0.125,-9.29662e-19,-0.046875,1.00001
0.125,-9.29662e-19,-0.0458333,1.00001
0.125,-9.29662e-19,-0.0447917,1.00001
0.125,-9.29662e-19,-0.04375,1.00001
0.125,-9.29662e-19,-0.0427084,1.00001
0.125,-9.29662e-19,-0.0416667,1.00001
0.125,-9.29662e-19,-0.040625,1.00001
0.125,-9.29662e-19,-0.0395834,1.00001
0.125,-9.29662e-19,-0.0385417,1.00001
0.125,-9.29662e-19,-0.0375,1.00001
0.125,-9.29662e-19,-0.0364583,1.00001
0.125,-9.29662e-19,-0.0354167,1.00001
0.125,-9.29662e-19,-0.034375,1.00001
0.125,-9.29662e-19,-0.0333333,1.00001
0.125,0,-0.0333333,1.00001
0.125,9.53375e-20,-0.0322916,1.00001
0.125,1.90675e-19,-0.03125,1.00001
0.125,1.90675e-19,-0.0302083,1.00001
0.125,1.90675e-19,-0.0291667,1.00001
0.125,1.90675e-19,-0.028125,1.00001
0.125,1.90675e-19,-0.0270834,1.00001
0.125,1.90675e-19,-0.0260417,1.00001
0.125,1.90675e-19,-0.025,1
0.125,1.90675e-19,-0.0239583,1
0.125,1.90675e-19,-0.0229167,1
0.125,1.90675e-19,-0.021875,1
0.125,1.90675e-19,-0.0208333,1
0.125,1.90675e-19,-0.0197916,1
0.125,1.90675e-19,-0.01875,1
0.125,1.90675e-19,-0.0177083,1
0.125,1.90675e-19,-0.0166667,0.999999
0.125,1.90675e-19,-0.015625,0.999999
0.125,1.90675e-19,-0.0145833,0.999996
0.125,1.90675e-19,-0.0135417,0.999996
0.125,1.90675e-19,-0.0125,0.999981
0.125,1.90675e-19,-0.0114583,0.999981
0.125,1.90675e-19,-0.0104166,0.999924
0.125,1.90675e-19,-0.00937498,0.999924
0.125,1.90675e-19,-0.00833333,0.999722
0.125,1.90675e-19,-0.00729166,0.999722
0.125,1.90675e-19,-0.00625,0.999028
0.125,1.90675e-19,-0.00520833,0.999028
0.125,1.90675e-19,-0.00416667,0.996857
0.125,1.90675e-19,-0.003125,0.996857
0.125,1.90675e-19,-0.00208333,0.989296
0.125,1.90675e-19,-0.00104166,0.989296
0.125,1.90675e-19,6.26101e-11,0.898238
0.125,1.90675e-19,0.00104167,0.898238
