x,y,z,alpha.water
0.1,0,-0.125,1
0.1,-8.81071e-20,-0.120834,1
0.1,-1.76214e-19,-0.116667,1
0.1,0,-0.116667,1
0.1,6.76513e-19,-0.1125,1
0.1,1.35303e-18,-0.108333,1
0.1,1.35302e-18,-0.104166,1
0.1,1.35302e-18,-0.1,1
0.1,1.35302e-18,-0.0958333,1
0.1,1.35302e-18,-0.0916667,1
0.1,1.35302e-18,-0.0875,1
0.1,1.35302e-18,-0.0833333,1.00001
0.1,1.35302e-18,-0.08125,1.00001
0.1,1.35302e-18,-0.0791667,1.00001
0.1,1.35302e-18,-0.0781251,1.00001
0.1,1.35302e-18,-0.0770835,1.00001
0.1,1.35302e-18,-0.0760418,1.00001
0.1,1.35302e-18,-0.075,1.00001
0.1,1.35302e-18,-0.0739584,1.00001
0.1,1.35302e-18,-0.0729167,1.00001
0.1,1.35302e-18,-0.071875,1.00001
0.1,1.35302e-18,-0.0708333,1.00001
0.1,1.35302e-18,-0.0697917,1.00001
0.1,1.35302e-18,-0.0687501,1.00001
0.1,1.35302e-18,-0.0677084,1.00001
0.1,1.35302e-18,-0.0666667,1.00001
0.1,1.35302e-18,-0.0656251,1.00001
0.1,1.35302e-18,-0.0645834,1.00001
0.1,1.35302e-18,-0.0635417,1.00001
0.1,1.35302e-18,-0.0625,1.00001
0.1,1.35302e-18,-0.0614583,1.00001
0.1,1.35302e-18,-0.0604167,1.00001
0.1,1.35302e-18,-0.059375,1.00001
0.1,1.35302e-18,-0.0583333,1.00001
0.1,1.35302e-18,-0.0572916,1.00001
0.1,1.35302e-18,-0.05625,1.00001
0.1,1.35302e-18,-0.0552083,1.00001
0.1,1.35302e-18,-0.0541667,1.00001
0.1,1.35302e-18,-0.053125,1.00001
0.1,1.35302e-18,-0.0520834,1.00001
0.1,1.35302e-18,-0.0510417,1.00001
0.1,1.35302e-18,-0.05,1
0.1,1.35302e-18,-0.0489583,1
0.1,1.35302e-18,-0.0479166,1
0.1,1.35302e-18,-0.0468749,1
0.1,1.35302e-18,-0.0458333,1
0.1,1.35302e-18,-0.0447916,1
0.1,1.35302e-18,-0.04375,1
0.1,1.35302e-18,-0.0427083,1
0.1,1.35302e-18,-0.0416667,1
0.1,1.35302e-18,-0.040625,1
0.1,1.35302e-18,-0.0395834,1
0.1,1.35302e-18,-0.0385417,1
0.1,1.35302e-18,-0.0375,1
0.1,1.35302e-18,-0.0364583,1
0.1,5.16988e-26,-0.0354167,0.999998
0.1,1.35302e-18,-0.0354167,1
0.1,-3.48132e-20,-0.034375,0.999998
0.1,-6.96264e-20,-0.0333333,0.999986
0.1,-6.96264e-20,-0.0322916,0.999986
0.1,-6.96264e-20,-0.03125,0.999931
0.1,-6.96264e-20,-0.0302083,0.999931
0.1,-6.96264e-20,-0.0291667,0.999698
0.1,-6.96264e-20,-0.028125,0.999698
0.1,-6.96264e-20,-0.0270834,0.998051
0.1,-6.96264e-20,-0.0260417,0.998051
0.1,-6.96264e-20,-0.025,0.963641
0.1,-6.96264e-20,-0.0239583,0.963641
0.1,-6.96264e-20,-0.0229167,0.652112
0.1,-6.96264e-20,-0.021875,0.652112
0.1,-6.96264e-20,-0.0208333,0.142415
0.1,-6.96264e-20,-0.0197916,0.142415
0.1,-6.96264e-20,-0.01875,0.0117497
0.1,-6.96264e-20,-0.0177083,0.0117497
